Team,,Rec,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Pacific,West Coast,"15-9",0.625,+7,142,7.05,176,31.12,221,89.61,149,18.98,2.82,142,30.49,115,32.42,1.84,5.16
Portland St,Big Sky,"14-6",0.700,+10,143,7.05,181,30.57,247,88.66,137,19.38,2.74,228,27.79,221,28.17,4.96,4.04
Marshall,Sun Belt,"15-8",0.652,+8,144,7.04,155,32.16,134,93.16,206,16.47,2.88,215,28.15,222,28.17,5.02,2.98
UC Santa Barbara,Big West,"15-7",0.682,+28,145,7.04,156,32.12,179,91.28,160,18.31,2.80,250,27.31,204,28.59,4.64,4.36
Kennesaw,Conference USA,"14-8",0.636,-1,146,7.03,148,32.46,79,96.40,292,13.53,2.81,212,28.32,178,29.26,4.78,4.22
Winthrop,Big South,"16-8",0.667,+17,147,7.02,154,32.17,92,95.40,275,14.24,2.79,248,27.44,252,27.18,4.78,2.22
Wright St,Horizon,"14-8",0.636,-1,148,7.01,147,32.46,131,93.26,199,16.67,2.74,214,28.19,228,28.01,5.88,3.12
WKU,Conference USA,"12-10",0.545,-7,149,7.01,144,32.72,135,93.02,182,17.18,2.83,135,30.65,149,30.50,5.28,3.72
MTSU,Conference USA,"11-10",0.524,-22,150,7.01,157,32.08,195,90.71,150,18.84,2.95,118,31.73,139,31.37,5.48,4.52
Charlotte,American Athletic,"13-9",0.591,+21,151,7.01,174,31.18,212,90.06,156,18.60,2.86,148,30.38,124,31.86,3.26,5.74
Tulane,American Athletic,"12-9",0.571,-18,152,7.01,149,32.42,148,92.32,175,17.58,2.90,150,30.32,113,32.49,3.99,7.01
IL Chicago,Missouri Val,"13-10",0.565,+39,153,7.01,163,31.79,192,90.89,158,18.38,2.78,146,30.43,134,31.50,3.27,4.73
Arkansas St,Sun Belt,"13-10",0.565,-23,154,7.01,143,32.81,90,95.90,268,14.39,2.82,152,30.24,197,28.76,6.08,1.92
Lipscomb,Atlantic Sun,"15-8",0.652,-7,155,7.00,153,32.17,124,93.64,218,16.01,2.77,235,27.71,246,27.32,5.50,2.50
Furman,Southern,"15-7",0.682,-5,156,6.98,162,31.81,181,91.28,166,18.01,2.84,291,26.03,282,26.39,5.75,3.25
Duquesne,Atlantic 10,"11-10",0.524,+1,157,6.98,133,33.66,110,94.33,193,16.80,2.73,159,29.90,131,31.65,4.49,5.51
Fresno St,Mountain West,"10-11",0.476,-2,158,6.98,145,32.61,207,90.24,121,19.85,2.93,109,32.58,98,34.28,3.36,6.64
Richmond,Atlantic 10,"13-10",0.565,-24,159,6.98,142,32.89,178,91.32,143,19.05,2.83,174,29.33,143,31.09,3.14,4.86
Loy Marymount,West Coast,"11-13",0.458,-21,160,6.98,136,33.36,194,90.81,113,20.02,2.89,112,32.35,114,32.43,3.66,3.34
Mercer,Southern,"15-8",0.652,-2,161,6.98,180,30.62,121,93.78,272,14.31,2.82,218,28.09,218,28.19,4.56,3.44
S Illinois,Missouri Val,"9-13",0.409,-12,162,6.98,128,34.01,159,91.99,135,19.49,2.89,100,33.28,105,33.58,3.87,4.13
Toledo,"Mid-American","12-10",0.545,-2,163,6.97,140,33.05,83,96.21,271,14.31,2.86,157,29.93,161,29.86,5.45,3.55
Wofford,Southern,"15-7",0.682,+17,164,6.97,186,30.06,160,91.98,232,15.55,2.74,240,27.62,258,27.04,5.71,3.29
Austin Peay,Atlantic Sun,"15-6",0.714,+10,165,6.96,200,29.10,216,89.99,202,16.58,2.88,267,26.86,279,26.52,4.91,3.09
Valparaiso,Missouri Val,"11-11",0.500,+5,166,6.96,173,31.28,231,89.42,138,19.34,2.81,115,32.11,110,32.69,3.66,5.34
ETSU,Southern,"15-7",0.682,-7,167,6.96,158,32.06,228,89.50,112,20.03,2.81,303,25.50,281,26.49,5.45,3.55
Montana St,Big Sky,"13-10",0.565,-2,168,6.94,171,31.35,211,90.10,153,18.72,2.77,175,29.32,187,29.04,4.82,3.18
Missouri St,Conference USA,"13-9",0.591,+14,169,6.94,159,31.96,202,90.39,144,19.04,2.91,213,28.22,181,29.19,4.64,4.36
Appalachian St,Sun Belt,"15-9",0.625,+27,170,6.93,169,31.57,322,85.60,44,23.44,2.73,261,27.03,250,27.23,4.35,2.65
William & Mary,Coastal,"14-8",0.636,-8,171,6.92,199,29.11,117,93.92,319,12.66,2.84,196,28.78,206,28.54,4.33,3.67
Massachusetts,"Mid-American","14-9",0.609,+14,172,6.91,166,31.73,132,93.23,219,15.98,2.84,247,27.45,226,28.08,4.49,3.51
Louisiana Tech,Conference USA,"12-9",0.571,+7,173,6.91,161,31.83,316,86.06,50,23.24,2.84,243,27.51,198,28.74,5.20,4.80
UC Davis,Big West,"13-9",0.591,-9,174,6.91,189,29.95,187,91.11,211,16.32,2.79,185,29.10,170,29.54,4.32,4.68
Towson,Coastal,"13-11",0.542,-7,175,6.90,167,31.66,295,86.72,66,22.41,2.83,179,29.26,180,29.22,5.24,3.76
Montana,Big Sky,"12-10",0.545,+23,176,6.90,170,31.57,172,91.61,176,17.43,2.85,186,29.08,194,28.85,4.87,3.13
PFW,Horizon,"14-9",0.609,,177,6.89,191,29.85,140,92.64,259,14.68,2.83,220,28.07,219,28.18,3.77,3.23
Bowling Green,"Mid-American","13-9",0.591,-16,178,6.86,177,31.11,150,92.21,207,16.37,2.76,270,26.75,241,27.51,5.01,3.99
N Colorado,Big Sky,"13-10",0.565,-10,179,6.85,172,31.34,101,95.03,284,13.79,2.66,238,27.64,232,27.83,4.76,3.24
Ohio,"Mid-American","12-11",0.522,-1,180,6.84,179,30.65,128,93.50,263,14.62,2.94,170,29.42,172,29.45,4.28,3.72
CS Northridge,Big West,"13-10",0.565,+17,181,6.84,201,29.08,114,94.04,322,12.52,2.78,189,29.05,183,29.12,4.44,4.56
Cornell,Ivy League,"10-10",0.500,+30,182,6.84,151,32.22,22,101.77,360,7.92,2.79,182,29.22,174,29.44,3.99,3.01
