Team,,Rec,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
Drake,Missouri Val,"12-10",0.545,+12,128,7.19,98,37.64,149,92.28,60,22.82,2.76,141,30.48,134,31.53,5.57,3.43
St Joseph's PA,Atlantic 10,"13-8",0.619,+12,129,7.18,128,34.07,161,92.00,130,19.53,2.80,144,30.39,141,31.27,5.31,4.69
Rhode Island,Atlantic 10,"13-8",0.619,+25,130,7.18,135,33.57,187,91.12,118,19.91,2.89,123,31.22,123,31.90,5.09,4.91
Washington St,West Coast,"10-13",0.435,+1,131,7.17,104,37.03,91,95.76,151,18.73,2.93,87,34.61,91,35.19,4.09,3.91
UT Arlington,Western Athletic,"14-6",0.700,+1,132,7.17,154,32.19,241,88.98,102,20.67,2.83,173,29.36,156,30.05,5.25,4.75
St Bonaventure,Atlantic 10,"13-8",0.619,+5,133,7.16,127,34.15,169,91.63,116,19.98,2.89,148,30.27,127,31.80,4.75,5.25
Oakland,Horizon,"13-10",0.565,-5,134,7.15,139,33.11,88,95.88,259,14.69,2.74,98,33.32,137,31.47,5.79,2.21
Temple,American Athletic,"13-8",0.619,+2,135,7.11,132,33.81,146,92.50,149,18.78,2.88,169,29.51,144,31.05,5.47,5.53
St Thomas MN,Summit Lg,"17-6",0.739,,136,7.10,166,31.81,139,92.70,205,16.57,2.82,277,26.61,279,26.56,5.35,2.65
Col Charleston,Coastal,"14-8",0.636,+20,137,7.10,146,32.52,133,93.18,194,16.81,2.76,166,29.64,169,29.60,5.95,4.05
Boston College,Atlantic Coast,"9-11",0.450,+8,138,7.08,120,34.91,203,90.26,72,22.11,2.78,104,33.10,83,36.51,2.86,8.14
Pacific,West Coast,"15-8",0.652,+10,139,7.08,177,31.00,230,89.30,139,19.16,2.83,157,30.01,114,32.45,1.96,6.04
MTSU,Conference USA,"11-9",0.550,-12,140,7.08,150,32.32,186,91.18,154,18.61,2.95,116,31.94,138,31.42,6.16,4.84
Arkansas St,Sun Belt,"13-9",0.591,-10,141,7.08,137,33.20,81,96.41,274,14.26,2.82,142,30.41,194,28.85,6.79,2.21
South Alabama,Sun Belt,"15-6",0.714,+2,142,7.07,171,31.34,245,88.80,115,20.00,2.82,265,26.89,270,26.91,5.73,3.27
Richmond,Atlantic 10,"13-9",0.591,-8,143,7.05,136,33.51,167,91.73,137,19.25,2.84,174,29.35,143,31.14,3.92,5.08
Oregon St,West Coast,"11-12",0.478,+10,144,7.05,130,33.89,172,91.45,119,19.90,2.93,105,33.03,100,34.03,3.77,5.23
S Illinois,Missouri Val,"9-12",0.429,+5,145,7.03,126,34.22,151,92.25,133,19.43,2.89,95,33.52,105,33.62,4.58,4.42
Hofstra,Coastal,"13-9",0.591,-20,146,7.03,142,32.94,217,89.88,106,20.51,2.71,175,29.32,190,29.01,5.84,3.16
UC Santa Barbara,Big West,"14-7",0.667,+26,147,7.03,159,31.97,181,91.31,163,18.12,2.80,246,27.51,204,28.60,5.36,4.64
Wright St,Horizon,"14-8",0.636,-1,148,7.02,148,32.44,132,93.23,201,16.67,2.74,216,28.16,229,27.99,5.87,3.13
Tulane,American Athletic,"12-9",0.571,-15,149,7.02,149,32.40,150,92.28,176,17.58,2.90,146,30.32,113,32.49,3.99,7.01
Loy Marymount,West Coast,"11-12",0.478,-11,150,7.02,131,33.85,195,90.81,107,20.50,2.89,114,32.00,117,32.41,4.08,3.92
Portland St,Big Sky,"13-6",0.684,+2,151,7.02,184,30.36,244,88.91,147,18.91,2.74,238,27.74,222,28.17,5.45,4.55
Charlotte,American Athletic,"13-9",0.591,+20,152,7.02,174,31.16,212,90.03,157,18.59,2.86,145,30.33,126,31.84,3.25,5.75
William & Mary,Coastal,"14-7",0.667,+10,153,7.01,194,29.58,126,93.49,294,13.56,2.84,186,29.09,201,28.67,5.06,3.94
Winthrop,Big South,"15-8",0.652,+10,154,7.01,157,32.06,92,95.34,277,14.18,2.79,244,27.57,253,27.18,5.49,2.51
Furman,Southern,"15-7",0.682,-4,155,7.00,163,31.85,183,91.27,167,18.05,2.84,292,26.11,282,26.47,5.74,3.26
Kennesaw,Conference USA,"13-8",0.619,-11,156,6.99,158,32.01,82,96.40,308,13.07,2.81,212,28.26,178,29.28,5.20,4.80
Lipscomb,Atlantic Sun,"14-8",0.636,-9,157,6.99,153,32.19,134,93.13,206,16.53,2.77,235,27.78,249,27.31,6.21,2.79
Marshall,Sun Belt,"14-8",0.636,-6,158,6.99,164,31.83,129,93.35,215,15.95,2.89,236,27.76,219,28.18,5.27,3.73
Duquesne,Atlantic 10,"11-10",0.524,-1,159,6.99,134,33.63,106,94.34,197,16.75,2.73,160,29.87,131,31.67,4.45,5.55
Wofford,Southern,"15-7",0.682,+21,160,6.99,187,30.09,158,92.03,230,15.53,2.74,240,27.67,257,27.08,5.71,3.29
Mercer,Southern,"14-8",0.636,-2,161,6.99,181,30.65,127,93.46,260,14.65,2.82,202,28.60,220,28.18,5.48,3.52
Montana St,Big Sky,"13-9",0.591,+4,162,6.99,169,31.55,199,90.54,158,18.47,2.77,182,29.16,189,29.04,5.31,3.69
IL Chicago,Missouri Val,"12-10",0.545,+29,163,6.98,168,31.68,189,90.97,162,18.17,2.78,149,30.18,133,31.57,3.53,5.47
WKU,Conference USA,"11-10",0.524,-22,164,6.97,147,32.51,131,93.26,200,16.71,2.83,143,30.40,149,30.52,5.58,4.42
ETSU,Southern,"15-7",0.682,-5,165,6.97,156,32.09,225,89.54,114,20.01,2.81,304,25.55,281,26.53,5.45,3.55
Austin Peay,Atlantic Sun,"14-6",0.700,+9,166,6.97,197,29.24,216,89.90,195,16.80,2.88,255,27.15,280,26.55,5.67,3.33
Toledo,"Mid-American","11-10",0.524,-6,167,6.97,143,32.89,83,96.37,280,13.98,2.86,147,30.31,161,29.90,6.20,3.80
Fresno St,Mountain West,"9-11",0.450,-12,168,6.96,151,32.32,213,90.02,125,19.76,2.93,106,32.93,98,34.26,4.02,6.98
Montana,Big Sky,"12-9",0.571,+30,169,6.96,165,31.82,170,91.50,173,17.79,2.84,180,29.19,197,28.83,5.62,3.38
Louisiana Tech,Conference USA,"12-8",0.600,+10,170,6.95,155,32.13,315,85.99,43,23.60,2.83,260,26.99,198,28.76,5.60,5.40
Valparaiso,Missouri Val,"10-11",0.476,,171,6.92,175,31.15,229,89.37,138,19.25,2.81,115,31.98,110,32.76,3.93,6.07
Missouri St,Conference USA,"12-9",0.571,+11,172,6.92,161,31.88,204,90.26,140,19.09,2.91,211,28.26,179,29.24,5.22,4.78
Bowling Green,"Mid-American","13-8",0.619,-11,173,6.91,173,31.29,137,92.81,216,15.94,2.76,273,26.69,241,27.54,5.64,4.36
Massachusetts,"Mid-American","13-9",0.591,+12,174,6.91,162,31.86,128,93.40,217,15.93,2.84,241,27.65,225,28.11,5.28,3.72
Cornell,Ivy League,"10-9",0.526,+37,175,6.91,144,32.64,18,101.92,360,8.18,2.79,171,29.45,173,29.48,4.79,3.21
Towson,Coastal,"12-11",0.522,-8,176,6.89,172,31.32,302,86.59,71,22.20,2.82,161,29.76,176,29.37,5.92,4.08
UC Davis,Big West,"12-9",0.571,-12,177,6.88,190,29.76,188,91.00,213,16.22,2.80,181,29.18,171,29.51,4.87,5.13
Appalachian St,Sun Belt,"14-9",0.609,+19,178,6.88,176,31.01,320,85.59,59,22.88,2.75,278,26.58,250,27.30,4.45,3.55
PFW,Horizon,"13-9",0.591,-2,179,6.87,193,29.64,145,92.51,263,14.60,2.83,219,28.14,218,28.18,4.34,3.66
Jacksonville St,Conference USA,"11-9",0.550,+23,180,6.86,167,31.76,262,88.01,89,21.22,2.75,257,27.12,193,28.91,5.37,5.63
Indiana St,Missouri Val,"9-13",0.409,-14,181,6.86,145,32.58,102,94.88,243,15.16,2.91,122,31.32,128,31.80,4.39,4.61
